ema;institucion;nombre_ema;comuna;region;latitud;longitud;fecha_de_alta
59;FDF;STA. BRISILA;Las Cabras;O'Higgins;-34,298080556;-71,323800000;2013-03-08T06:49:11Z
60;FDF;Chimbarongo;Chimbarongo;O'Higgins;-34,670833333;-71,031666667;2013-03-08T06:49:11Z
61;FDF;Codegua Norte Ex Rancagua;Codegua;O'Higgins;-34,108888889;-70,639583333;2013-03-08T06:49:11Z
62;FDF;Graneros Norte;Graneros;O'Higgins;-34,061944444;-70,705000000;2013-03-08T06:49:11Z
63;FDF;Mostazal;Mostazal;O'Higgins;-34,001666667;-70,701666667;2013-03-08T06:49:11Z
64;FDF;Codegua;Codegua;O'Higgins;-34,110277778;-70,653611111;2013-03-08T06:49:11Z
65;FDF;Punta Cortes;Rancagua;O'Higgins;-34,169750000;-70,791277778;2013-03-08T06:49:12Z
66;FDF;Olivar Alto;Olivar;O'Higgins;-34,203055556;-70,824166667;2013-03-08T06:49:11Z
67;FDF;Los Maquis;Malloa;O'Higgins;-34,499722222;-70,839722222;2013-03-08T06:49:11Z
68;FDF;San Vicente TT;San Vicente;O'Higgins;-34,457777778;-71,050555556;2013-03-08T06:49:12Z
69;FDF;Coltauco;Coltauco;O'Higgins;-34,237777778;-71,005000000;2013-03-08T06:49:11Z
70;FDF;Rapel;Las Cabras;O'Higgins;-34,216666667;-71,300000000;2013-03-08T06:49:11Z
71;FDF;Peumo Norte Ex Las Cabras;Peumo;O'Higgins;-34,326944444;-71,258888889;2013-03-08T06:49:11Z
72;FDF;El Carmen;San Fernando;O'Higgins;-34,608055556;-70,975000000;2013-03-08T06:49:12Z
74;FDF;Chépica;Chépica;O'Higgins;-34,738611111;-71,258055556;2013-03-08T06:49:11Z
75;FDF;Nancagua 2;Nancagua;O'Higgins;-34,660833333;-71,283611111;2013-03-08T06:49:11Z
76;FDF;Santa Cruz;Santa Cruz;O'Higgins;-34,690833333;-71,400000000;2013-03-08T06:49:12Z
77;FDF;Lolol;Lolol;O'Higgins;-34,713611111;-71,629722222;2013-03-08T06:49:11Z
78;FDF;La Estrella Sur Ex Pumanque;La Estrella;O'Higgins;-34,213333333;-71,716111111;2013-03-08T06:49:11Z
79;FDF;Palmilla;Palmilla;O'Higgins;-34,546666667;-71,395000000;2013-03-08T06:49:11Z
80;FDF;La Estrella Norte;La Estrella;O'Higgins;-34,213333333;-71,716111111;2013-03-08T06:49:11Z
81;FDF;Marchigue;Marchihue;O'Higgins;-34,405555556;-71,607222222;2013-03-08T06:49:11Z
82;FDF;Requinoa;Requínoa;O'Higgins;-34,321667000;-70,833694000;2013-03-08T06:49:11Z
83;FDF;Tres Esquinas;Molina;Maule;-35,144722222;-71,216111111;2013-03-08T06:49:11Z
84;FDF;YERBAS BUENAS 2;Yerbas Buenas;Maule;-35,690472222;-71,553944444;2013-03-08T06:49:12Z
86;FDF;Morza Norte Ex Peteroa;Teno;Maule;-34,835000000;-71,024166667;2013-03-08T06:49:12Z
88;FDF;Morza;Teno;Maule;-34,851666667;-71,020277778;2013-03-08T06:49:12Z
89;FDF;Teno;Teno;Maule;-34,878888889;-71,165277778;2013-03-08T06:49:12Z
90;FDF;Sagrada Familia;Sagrada Familia;Maule;-34,996944444;-71,374166667;2013-03-08T06:49:12Z
91;FDF;Rauco;Rauco;Maule;-34,925000000;-71,283055556;2013-03-08T06:49:12Z
